major_minor,tag,code,blank,comment,nFiles,release_date
1.4,1.4,48551,8727,11154,419,2009-01-06
1.5,1.5.0,63240,11018,18457,512,2009-02-18
1.6,1.6.1,86799,14582,41327,744,2009-11-05
2.0,2.0.0,115586,18488,42717,1074,2010-06-05
3.0,3.0.0,188246,29836,60879,1694,2012-02-07
3.1,3.1.0,191269,29973,62628,1642,2012-06-22
3.2,3.2.0,257934,43596,119688,2004,2012-12-17
3.3,3.3.0,350914,58798,159566,2682,2013-06-20
3.4,3.4.0,291555,48371,149981,2367,2013-10-24
4.0,4.0.0,357375,57707,159944,2790,2014-05-30
4.1,4.1.0,419663,68854,208270,3283,2015-01-28
4.2,4.2.0,438240,71324,218459,3439,2015-10-22
4.3,4.3.0,455646,72172,219435,3405,2016-08-09
4.4,4.4.0,472926,75325,216544,3597,2017-03-07
